episode,coverage,steps,success,epsilon
267,0.930000,2500,0,0.587116
268,0.950000,2500,0,0.585942
269,0.980000,2500,0,0.584770
270,0.960000,2500,0,0.583600
271,0.980000,2500,0,0.582433
272,1.000000,2365,1,0.581268
273,0.910000,2500,0,0.580106
274,0.890000,2500,0,0.578946
275,0.890000,2500,0,0.577788
276,0.910000,2500,0,0.576632
277,0.990000,2500,0,0.575479
278,1.000000,1817,1,0.574328
279,0.990000,2500,0,0.573179
280,1.000000,1414,1,0.572033
281,0.990000,2500,0,0.570889
282,0.970000,2500,0,0.569747
283,1.000000,1718,1,0.568608
284,0.980000,2500,0,0.567470
285,1.000000,2291,1,0.566335
286,0.980000,2500,0,0.565203
287,0.990000,2500,0,0.564072
288,1.000000,2131,1,0.562944
289,0.990000,2500,0,0.561818
290,1.000000,2398,1,0.560695
291,1.000000,2065,1,0.559573
292,0.970000,2500,0,0.558454
293,0.990000,2500,0,0.557337
294,0.990000,2500,0,0.556223
295,0.990000,2500,0,0.555110
296,0.980000,2500,0,0.554000
297,0.920000,2500,0,0.552892
298,0.990000,2500,0,0.551786
299,0.970000,2500,0,0.550683
300,0.940000,2500,0,0.549581
301,0.930000,2500,0,0.548482
302,0.990000,2500,0,0.547385
303,0.970000,2500,0,0.546290
304,0.950000,2500,0,0.545198
305,1.000000,1386,1,0.544107
306,1.000000,1709,1,0.543019
307,0.970000,2500,0,0.541933
308,0.970000,2500,0,0.540849
309,0.990000,2500,0,0.539767
310,0.920000,2500,0,0.538688
311,0.940000,2500,0,0.537611
312,0.920000,2500,0,0.536535
313,1.000000,1417,1,0.535462
314,1.000000,1337,1,0.534391
315,0.980000,2500,0,0.533323
316,0.980000,2500,0,0.532256
317,0.920000,2500,0,0.531191
318,0.830000,2500,0,0.530129
319,0.910000,2500,0,0.529069
320,0.730000,2500,0,0.528011
321,0.990000,2500,0,0.526955
322,0.910000,2500,0,0.525901
323,0.990000,2500,0,0.524849
324,0.980000,2500,0,0.523799
325,0.970000,2500,0,0.522752
326,0.990000,2500,0,0.521706
327,0.950000,2500,0,0.520663
328,0.930000,2500,0,0.519621
329,0.990000,2500,0,0.518582
330,0.940000,2500,0,0.517545
331,0.940000,2500,0,0.516510
332,0.970000,2500,0,0.515477
333,0.970000,2500,0,0.514446
334,0.980000,2500,0,0.513417
335,0.990000,2500,0,0.512390
336,0.970000,2500,0,0.511365
337,0.960000,2500,0,0.510343
338,0.900000,2500,0,0.509322
339,0.970000,2500,0,0.508303
340,0.890000,2500,0,0.507287
341,1.000000,2244,1,0.506272
342,0.910000,2500,0,0.505260
343,0.910000,2500,0,0.504249
344,0.960000,2500,0,0.503241
345,0.980000,2500,0,0.502234
346,0.980000,2500,0,0.501230
347,0.990000,2500,0,0.500227
348,0.970000,2500,0,0.499227
349,1.000000,2462,1,0.498228
350,0.980000,2500,0,0.497232
351,0.960000,2500,0,0.496237
352,0.880000,2500,0,0.495245
353,0.950000,2500,0,0.494254
354,0.980000,2500,0,0.493266
355,0.920000,2500,0,0.492279
356,0.950000,2500,0,0.491295
357,0.740000,2500,0,0.490312
358,0.870000,2500,0,0.489332
359,0.970000,2500,0,0.488353
360,0.930000,2500,0,0.487376
361,0.950000,2500,0,0.486401
362,0.930000,2500,0,0.485429
363,0.990000,2500,0,0.484458
364,0.980000,2500,0,0.483489
365,0.920000,2500,0,0.482522
366,1.000000,979,1,0.481557
367,0.940000,2500,0,0.480594
368,0.940000,2500,0,0.479633
369,0.940000,2500,0,0.478673
370,1.000000,1709,1,0.477716
371,0.970000,2500,0,0.476761
372,0.990000,2500,0,0.475807
373,1.000000,903,1,0.474855
374,0.990000,2500,0,0.473906
375,0.920000,2500,0,0.472958
376,0.940000,2500,0,0.472012
377,0.950000,2500,0,0.471068
378,0.960000,2500,0,0.470126
379,0.940000,2500,0,0.469186
380,0.890000,2500,0,0.468247
381,0.900000,2500,0,0.467311
382,0.990000,2500,0,0.466376
383,0.930000,2500,0,0.465443
384,0.950000,2500,0,0.464512
385,0.900000,2500,0,0.463583
386,0.850000,2500,0,0.462656
387,0.870000,2500,0,0.461731
388,0.960000,2500,0,0.460807
389,0.980000,2500,0,0.459886
390,0.910000,2500,0,0.458966
391,0.910000,2500,0,0.458048
392,0.970000,2500,0,0.457132
393,0.970000,2500,0,0.456218
394,0.900000,2500,0,0.455305
395,0.910000,2500,0,0.454395
396,0.970000,2500,0,0.453486
397,0.780000,2500,0,0.452579
398,0.680000,2500,0,0.451674
399,0.950000,2500,0,0.450770
400,0.830000,2500,0,0.449869
401,0.910000,2500,0,0.448969
402,0.990000,2500,0,0.448071
403,0.850000,2500,0,0.447175
404,0.970000,2500,0,0.446281
405,0.980000,2500,0,0.445388
406,0.910000,2500,0,0.444497
407,0.890000,2500,0,0.443608
408,0.860000,2500,0,0.442721
409,0.970000,2500,0,0.441836
410,0.830000,2500,0,0.440952
411,0.950000,2500,0,0.440070
412,0.920000,2500,0,0.439190
413,0.730000,2500,0,0.438312
414,0.920000,2500,0,0.437435
415,0.950000,2500,0,0.436560
416,0.810000,2500,0,0.435687
417,0.870000,2500,0,0.434816
418,0.900000,2500,0,0.433946
419,0.850000,2500,0,0.433078
420,0.960000,2500,0,0.432212
421,0.740000,2500,0,0.431348
422,0.880000,2500,0,0.430485
423,0.820000,2500,0,0.429624
424,0.830000,2500,0,0.428765
425,0.890000,2500,0,0.427907
426,0.760000,2500,0,0.427051
427,0.880000,2500,0,0.426197
428,0.910000,2500,0,0.425345
429,0.800000,2500,0,0.424494
430,0.820000,2500,0,0.423645
431,0.930000,2500,0,0.422798
432,0.900000,2500,0,0.421952
433,0.870000,2500,0,0.421108
434,0.930000,2500,0,0.420266
435,0.850000,2500,0,0.419426
436,0.820000,2500,0,0.418587
437,0.830000,2500,0,0.417750
438,0.900000,2500,0,0.416914
439,0.860000,2500,0,0.416080
440,0.940000,2500,0,0.415248
441,0.820000,2500,0,0.414418
442,0.920000,2500,0,0.413589
443,0.830000,2500,0,0.412762
444,0.880000,2500,0,0.411936
445,0.870000,2500,0,0.411112
446,0.840000,2500,0,0.410290
447,0.740000,2500,0,0.409469
448,0.830000,2500,0,0.408650
449,0.890000,2500,0,0.407833
450,0.780000,2500,0,0.407017
451,0.930000,2500,0,0.406203
452,0.840000,2500,0,0.405391
453,0.870000,2500,0,0.404580
454,0.950000,2500,0,0.403771
455,0.790000,2500,0,0.402964
456,0.810000,2500,0,0.402158
457,0.810000,2500,0,0.401353
458,0.850000,2500,0,0.400551
459,0.770000,2500,0,0.399749
460,0.930000,2500,0,0.398950
461,0.650000,2500,0,0.398152
462,0.920000,2500,0,0.397356
463,0.910000,2500,0,0.396561
464,0.970000,2500,0,0.395768
465,0.930000,2500,0,0.394976
466,0.910000,2500,0,0.394186
467,0.970000,2500,0,0.393398
468,0.900000,2500,0,0.392611
469,0.900000,2500,0,0.391826
470,0.980000,2500,0,0.391042
471,0.830000,2500,0,0.390260
472,0.910000,2500,0,0.389480
473,0.930000,2500,0,0.388701
474,0.880000,2500,0,0.387923
475,0.940000,2500,0,0.387148
476,0.940000,2500,0,0.386373
477,0.930000,2500,0,0.385601
478,0.960000,2500,0,0.384829
479,0.940000,2500,0,0.384060
480,0.970000,2500,0,0.383292
481,0.950000,2500,0,0.382525
482,0.960000,2500,0,0.381760
483,0.910000,2500,0,0.380996
484,0.930000,2500,0,0.380234
485,0.920000,2500,0,0.379474
486,0.960000,2500,0,0.378715
487,0.970000,2500,0,0.377958
488,0.860000,2500,0,0.377202
489,0.920000,2500,0,0.376447
490,0.970000,2500,0,0.375694
491,0.900000,2500,0,0.374943
492,0.920000,2500,0,0.374193
493,0.950000,2500,0,0.373445
494,0.970000,2500,0,0.372698
495,0.950000,2500,0,0.371952
496,0.970000,2500,0,0.371209
497,0.940000,2500,0,0.370466
498,0.870000,2500,0,0.369725
499,0.870000,2500,0,0.368986
500,0.930000,2500,0,0.368248
501,0.950000,2500,0,0.367511
502,0.890000,2500,0,0.366776
503,0.890000,2500,0,0.366043
504,0.940000,2500,0,0.365311
505,0.930000,2500,0,0.364580
506,0.990000,2500,0,0.363851
507,0.960000,2500,0,0.363123
508,0.980000,2500,0,0.362397
509,1.000000,1987,1,0.361672
510,0.960000,2500,0,0.360949
511,0.980000,2500,0,0.360227
512,0.920000,2500,0,0.359506
513,0.970000,2500,0,0.358787
514,0.890000,2500,0,0.358070
515,0.950000,2500,0,0.357354
516,0.970000,2500,0,0.356639
517,0.930000,2500,0,0.355926
518,0.980000,2500,0,0.355214
519,0.980000,2500,0,0.354503
520,0.970000,2500,0,0.353794
521,0.830000,2500,0,0.353087
522,0.990000,2500,0,0.352381
523,0.930000,2500,0,0.351676
524,0.900000,2500,0,0.350973
525,0.930000,2500,0,0.350271
526,0.960000,2500,0,0.349570
527,0.950000,2500,0,0.348871
528,0.890000,2500,0,0.348173
529,0.920000,2500,0,0.347477
530,0.910000,2500,0,0.346782
531,0.890000,2500,0,0.346088
532,0.930000,2500,0,0.345396
533,0.900000,2500,0,0.344705
534,0.880000,2500,0,0.344016
535,0.950000,2500,0,0.343328
536,0.930000,2500,0,0.342641
537,0.890000,2500,0,0.341956
538,0.970000,2500,0,0.341272
539,0.940000,2500,0,0.340589
540,0.940000,2500,0,0.339908
541,0.920000,2500,0,0.339228
542,0.960000,2500,0,0.338550
543,0.950000,2500,0,0.337873
544,0.820000,2500,0,0.337197
545,0.880000,2500,0,0.336523
546,0.950000,2500,0,0.335850
547,0.910000,2500,0,0.335178
548,0.910000,2500,0,0.334508
549,0.780000,2500,0,0.333839
550,0.880000,2500,0,0.333171
551,0.860000,2500,0,0.332505
552,0.920000,2500,0,0.331840
553,0.960000,2500,0,0.331176
554,0.980000,2500,0,0.330514
555,0.960000,2500,0,0.329853
556,0.970000,2500,0,0.329193
557,0.840000,2500,0,0.328534
558,0.930000,2500,0,0.327877
559,1.000000,1902,1,0.327222
560,0.970000,2500,0,0.326567
561,0.880000,2500,0,0.325914
562,0.950000,2500,0,0.325262
563,0.970000,2500,0,0.324612
564,0.830000,2500,0,0.323963
565,0.940000,2500,0,0.323315
566,0.900000,2500,0,0.322668
567,0.860000,2500,0,0.322023
568,0.920000,2500,0,0.321379
569,0.940000,2500,0,0.320736
570,0.920000,2500,0,0.320094
571,0.950000,2500,0,0.319454
572,0.980000,2500,0,0.318815
573,0.960000,2500,0,0.318178
574,0.980000,2500,0,0.317541
575,1.000000,1215,1,0.316906
576,0.900000,2500,0,0.316272
577,0.900000,2500,0,0.315640
578,0.920000,2500,0,0.315009
579,0.850000,2500,0,0.314379
580,0.910000,2500,0,0.313750
581,0.920000,2500,0,0.313122
582,0.920000,2500,0,0.312496
583,0.940000,2500,0,0.311871
584,0.920000,2500,0,0.311247
585,0.960000,2500,0,0.310625
586,0.930000,2500,0,0.310004
587,0.930000,2500,0,0.309384
